"[193.54451841829666, 106.82219546120126, 140.0, -0.44451841829666705, 0.9778045387987362, 11.699999999999989, 45.79, -24.87, -88.41, 26.27, 0.17, -44.29]","[193.9053335949428, 93.22956807087559, 140.0, 4.894666405057222, 3.470431929124416, 11.400000000000006, 39.99, -24.96, -88.41, 26.27, 0.7, -52.47]","[194.2661487715889, 79.6369406805499, 140.0, 16.733851228411112, -13.636940680549898, 11.400000000000006, 31.81, -24.96, -88.41, 26.27, 0.52, -60.46]","[194.62696394823502, 66.04431329022421, 140.0, 23.873036051764984, -28.344313290224207, 7.199999999999989, 24.69, -26.45, -88.41, 27.77, 1.05, -67.93]","[194.98777912488114, 52.451685899898536, 140.0, 27.412220875118862, -42.65168589989854, 8.099999999999994, 17.05, -26.45, -88.41, 27.94, 0.79, -75.41]","[195.34859430152724, 38.85905850957286, 140.0, 26.45140569847277, -57.95905850957286, 8.099999999999994, 9.66, -26.45, -88.41, 27.94, 0.79, -82.88]","[195.70940947817337, 25.26643111924716, 140.0, 21.79059052182663, -72.76643111924716, 8.099999999999994, 1.93, -26.45, -88.41, 27.94, 0.79, -90.7]","[196.0702246548195, 11.673803728921484, 140.0, 12.929775345180502, -88.37380372892149, 8.099999999999994, -5.8, -26.45, -88.41, 27.94, 0.79, -97.11]","[196.4310398314656, -1.9188236614041898, 140.0, 5.768960168534392, -91.1811763385958, 8.099999999999994, -8.17, -26.45, -88.41, 27.94, 0.7, -97.03]","[196.79185500811172, -15.511451051729864, 140.0, 5.608144991888281, -77.38854894827014, 7.5, -8.26, -26.63, -88.41, 27.94, 0.61, -97.64]","[197.15267018475785, -29.10407844205554, 140.0, 5.2473298152421535, -63.79592155794447, 7.5, -8.26, -26.63, -88.41, 27.94, 0.61, -97.64]","[197.51348536140395, -42.69670583238124, 140.0, 4.886514638596054, -50.203294167618765, 7.5, -8.26, -26.63, -88.41, 27.94, 0.61, -97.73]","[197.87430053805008, -56.289333222706944, 140.0, 4.425699461949932, -36.61066677729306, 7.199999999999989, -8.26, -26.63, -88.76, 28.38, 0.61, -97.91]","[198.2351157146962, -69.88196061303262, 140.0, 4.264884285303793, -23.41803938696738, 6.800000000000011, -8.34, -26.89, -88.85, 29.09, 0.61, -99.05]","[198.5959308913423, -83.47458800335829, 140.0, 3.904069108657694, -9.825411996641705, 6.800000000000011, -8.34, -26.89, -88.85, 29.09, 0.61, -99.14]"
"[201.79176400536488, 93.9407295051179, 140.0, 1.008235994635129, 0.059270494882099456, 7.199999999999989, 41.3, -27.07, -87.45, 26.89, 0.26, -48.77]","[201.12813761232374, 81.50278330234778, 140.0, 6.771862387676265, -0.102783302347774, 6.900000000000006, 35.59, -27.07, -88.59, 29.17, 0.79, -56.6]","[200.4645112192826, 69.06483709957766, 140.0, 16.635488780717395, -17.864837099577656, 6.300000000000011, 27.86, -27.07, -89.82, 30.76, 0.79, -64.07]","[199.80088482624146, 56.62689089680753, 140.0, 21.59911517375855, -34.32689089680753, 5.199999999999989, 20.47, -27.07, -90.96, 32.69, 0.79, -71.54]","[199.13725843320032, 44.18894469403741, 140.0, 22.662741566799696, -49.88894469403741, 3.8000000000000114, 13.18, -26.98, -92.1, 34.01, 0.87, -79.1]","[198.47363204015917, 31.75099849126729, 140.0, 18.526367959840826, -66.7509984912673, 4.699999999999989, 5.18, -25.66, -93.6, 34.1, 0.87, -86.83]","[197.81000564711803, 19.31305228849716, 140.0, 10.489994352881979, -83.91305228849716, 4.0, -2.19, -25.13, -94.48, 34.1, 0.87, -94.3]","[197.1463792540769, 6.87510608572704, 140.0, 2.3536207459231093, -94.27510608572705, 5.0, -7.64, -24.87, -94.48, 34.1, 0.87, -96.15]","[196.48275286103572, -5.562840117043081, 140.0, 1.6172471389642737, -84.93715988295692, 5.0, -7.82, -24.87, -94.48, 34.1, 0.87, -96.32]","[195.81912646799458, -18.0007863198132, 140.0, 2.2808735320054154, -72.4992136801868, 5.0, -7.82, -24.87, -94.48, 34.1, 0.87, -96.59]","[195.15550007495344, -30.438732522583322, 140.0, 2.944499925046557, -60.06126747741668, 5.0, -7.82, -24.87, -94.48, 34.1, 0.87, -96.59]","[194.4918736819123, -42.87667872535343, 140.0, 3.608126318087699, -47.62332127464657, 5.0, -7.82, -24.87, -94.48, 34.1, 0.87, -96.85]","[193.82824728887115, -55.31462492812358, 140.0, 4.2717527111288405, -35.18537507187642, 5.0, -7.82, -24.87, -94.57, 34.1, 0.87, -96.94]","[193.16462089583, -67.7525711308937, 140.0, 3.5353791041699765, -22.547428869106298, 4.800000000000011, -7.82, -24.25, -95.36, 34.1, 0.87, -97.03]","[192.50099450278887, -80.19051733366382, 140.0, 4.199005497211118, -10.109482666336177, 4.800000000000011, -7.82, -24.25, -95.36, 34.1, 0.79, -97.2]"
"[195.80017154434236, 107.96945165872917, 140.0, 0.9998284556576493, 0.23054834127083268, 5.699999999999989, 45.08, -28.03, -86.22, 25.83, 0.52, -45.0]","[196.05942935610946, 93.66334039098611, 140.0, 5.840570643890544, 4.63665960901389, 5.800000000000011, 40.51, -28.03, -86.22, 26.27, 1.4, -52.38]","[196.31868716787656, 79.35722912324303, 140.0, 18.081312832123444, -7.057229123243033, 5.0, 32.87, -29.09, -86.22, 28.21, 1.4, -59.76]","[196.57794497964363, 65.05111785549997, 140.0, 25.322055020356373, -19.75111785549997, 5.0, 25.66, -29.09, -86.22, 28.21, 1.4, -66.88]","[196.83720279141073, 50.7450065877569, 140.0, 28.96279720858928, -34.0450065877569, 4.900000000000006, 18.45, -29.09, -86.22, 28.21, 1.4, -74.0]","[197.09646060317783, 36.43889532001383, 140.0, 29.003539396822163, -46.93889532001383, 4.900000000000006, 11.6, -29.09, -86.22, 28.21, 1.49, -81.21]","[197.35571841494493, 22.13278405227075, 140.0, 25.744281585055063, -60.23278405227075, 4.900000000000006, 4.3, -29.09, -86.22, 28.21, 1.49, -88.33]","[197.61497622671203, 7.8266727845276876, 140.0, 18.585023773287958, -75.02667278452769, 5.0, -3.16, -29.09, -86.22, 28.3, 1.49, -95.71]","[197.8742340384791, -6.479438483215375, 140.0, 8.725765961520892, -86.02056151678462, 4.900000000000006, -9.4, -29.09, -86.22, 28.21, 1.49, -99.66]","[198.1334918502462, -20.785549750958452, 140.0, 4.466508149753793, -80.21445024904155, 4.900000000000006, -10.54, -29.09, -86.22, 28.21, 1.49, -99.75]","[198.3927496620133, -35.091661018701515, 140.0, 4.207250337986693, -65.90833898129848, 4.900000000000006, -10.54, -29.09, -86.22, 28.21, 1.49, -99.84]","[198.6520074737804, -49.39777228644458, 140.0, 4.047992526219588, -51.60222771355542, 3.9000000000000057, -10.54, -29.44, -86.13, 28.21, 1.49, -100.1]","[198.9112652855475, -63.70388355418767, 140.0, 4.288734714452488, -37.396116445812325, 4.199999999999989, -10.54, -29.53, -85.86, 28.21, 1.49, -100.72]","[199.17052309731457, -78.00999482193073, 140.0, 4.029476902685417, -23.090005178069262, 4.199999999999989, -10.54, -29.53, -85.86, 28.21, 1.49, -100.89]","[199.42978090908167, -92.3161060896738, 140.0, 3.7702190909183173, -8.7838939103262, 4.199999999999989, -10.54, -29.53, -85.86, 28.21, 1.49, -100.98]"
"[200.49723442492683, 103.8666590730134, 140.0, 0.10276557507316397, -0.8666590730133947, 9.900000000000006, 43.41, -27.5, -84.99, 24.96, 0.35, -46.49]","[200.79428567162415, 90.10571312023411, 140.0, 4.505714328375859, 3.2942868797658917, 10.0, 38.75, -27.68, -84.99, 24.96, 0.43, -53.43]","[201.09133691832147, 76.34476716745482, 140.0, 16.408663081678526, -9.444767167454813, 7.099999999999994, 31.37, -29.17, -84.99, 27.5, 0.61, -60.73]","[201.38838816501882, 62.58382121467553, 140.0, 22.811611834981164, -22.383821214675528, 7.099999999999994, 24.52, -29.17, -84.99, 27.5, 0.61, -67.85]","[201.68543941171615, 48.82287526189625, 140.0, 25.914560588283848, -36.42287526189625, 7.400000000000006, 17.31, -29.17, -84.9, 27.5, 0.61, -74.97]","[201.98249065841347, 35.06192930911696, 140.0, 25.417509341586538, -50.761929309116965, 7.400000000000006, 10.01, -29.17, -84.9, 27.5, 0.7, -82.52]","[202.2795419051108, 21.300983356337667, 140.0, 21.120458094889216, -66.10098335633766, 7.400000000000006, 2.81, -29.17, -84.9, 27.5, 0.7, -89.64]","[202.5765931518081, 7.540037403558387, 140.0, 13.523406848191883, -80.04003740355839, 7.400000000000006, -4.39, -29.26, -84.9, 27.5, 0.7, -96.76]","[202.87364439850546, -6.220908549220894, 140.0, 6.426355601494549, -89.17909145077911, 6.699999999999989, -9.31, -30.49, -83.32, 27.5, 0.87, -98.34]","[203.17069564520278, -19.981854502000175, 140.0, 4.92930435479721, -78.71814549799983, 6.900000000000006, -9.58, -30.49, -83.32, 27.5, 0.87, -98.34]","[203.4677468919001, -33.74280045477947, 140.0, 4.6322531080998885, -64.95719954522053, 6.900000000000006, -9.58, -30.49, -83.32, 27.5, 0.87, -98.52]","[203.76479813859743, -47.50374640755875, 140.0, 4.335201861402567, -51.19625359244125, 6.900000000000006, -9.58, -30.49, -83.32, 27.5, 0.87, -98.7]","[204.06184938529475, -61.26469236033806, 140.0, 4.038150614705245, -37.43530763966194, 6.5, -9.58, -30.58, -83.32, 27.5, 0.87, -98.87]","[204.3589006319921, -75.02563831311734, 140.0, 3.7410993680078946, -23.674361686882662, 6.5, -9.58, -30.58, -83.32, 27.5, 0.87, -99.05]","[204.65595187868942, -88.78658426589662, 140.0, 3.4440481213105727, -9.913415734103381, 6.5, -9.58, -30.58, -83.32, 27.5, 0.87, -99.14]"
"[202.592267269345, 90.48408702013134, 140.0, 0.10773273065498756, -0.6840870201313436, 8.099999999999994, 40.42, -26.45, -88.41, 27.77, 0.35, -49.57]","[202.94612110702064, 77.18176436396811, 140.0, 5.553878892979355, 2.018235636031889, 7.099999999999994, 34.98, -27.24, -88.33, 28.47, 1.05, -57.3]","[203.2999749446963, 63.879441707804894, 140.0, 15.9000250553037, -13.079441707804897, 5.099999999999994, 27.15, -28.74, -87.27, 29.97, 1.14, -65.12]","[203.65382878237193, 50.57711905164167, 140.0, 23.14617121762808, -27.177119051641668, 5.400000000000006, 19.77, -30.14, -85.6, 29.97, 1.14, -72.59]","[204.00768262004758, 37.27479639547845, 140.0, 26.692317379952414, -42.77479639547845, 5.0, 12.21, -31.46, -83.84, 29.97, 1.14, -80.41]","[204.36153645772322, 23.972473739315234, 140.0, 26.13846354227678, -60.072473739315235, 4.400000000000006, 4.83, -32.78, -82.17, 29.97, 1.23, -87.89]","[204.71539029539886, 10.670151083151993, 140.0, 20.684609704601144, -76.47015108315199, 5.199999999999989, -2.81, -33.04, -81.56, 29.88, 1.23, -95.18]","[205.0692441330745, -2.6321715730112203, 140.0, 10.530755866925489, -92.36782842698878, 6.0, -9.75, -33.48, -79.98, 28.74, 1.23, -99.75]","[205.42309797075012, -15.934494229174447, 140.0, 5.876902029249891, -90.06550577082555, 6.5, -11.33, -33.57, -79.71, 28.38, 1.23, -99.66]","[205.77695180842576, -29.23681688533766, 140.0, 5.423048191574225, -76.76318311466234, 6.300000000000011, -11.33, -33.57, -79.71, 28.3, 1.23, -99.84]","[206.1308056461014, -42.53913954150087, 140.0, 4.969194353898587, -63.46086045849913, 6.199999999999989, -11.33, -33.57, -79.71, 28.12, 1.23, -100.01]","[206.48465948377705, -55.8414621976641, 140.0, 4.615340516222943, -50.058537802335906, 6.099999999999994, -11.33, -33.57, -79.1, 27.07, 1.14, -100.19]","[206.8385133214527, -69.14378485382736, 140.0, 4.1614866785473055, -37.356215146172644, 6.699999999999989, -11.42, -33.57, -78.48, 25.92, 0.96, -100.37]","[207.19236715912834, -82.44610750999055, 140.0, 3.807632840871662, -24.053892490009446, 6.699999999999989, -11.42, -33.57, -78.48, 25.92, 0.96, -100.54]","[207.54622099680398, -95.74843016615378, 140.0, 3.4537790031960185, -10.751569833846219, 6.699999999999989, -11.42, -33.57, -78.48, 25.92, 0.96, -100.63]"
"[202.33638093098867, 93.43308312572935, 140.0, -0.43638093098866193, 2.266916874270649, 9.0, 41.74, -26.63, -87.36, 26.8, 0.43, -48.95]","[202.82480837916347, 80.44208677177193, 140.0, 5.575191620836534, 4.257913228228077, 6.800000000000011, 36.47, -28.12, -87.36, 29.17, 0.87, -56.16]","[203.31323582733827, 67.45109041781451, 140.0, 15.186764172661725, -11.151090417814515, 6.0, 28.47, -28.47, -87.36, 29.53, 0.87, -63.8]","[203.80166327551308, 54.46009406385709, 140.0, 22.19833672448692, -26.66009406385709, 5.0, 21.18, -29.88, -85.78, 29.61, 1.14, -71.19]","[204.29009072368788, 41.46909770989967, 140.0, 25.609909276312123, -42.26909770989967, 4.699999999999989, 13.71, -31.02, -84.37, 29.61, 1.14, -78.57]","[204.7785181718627, 28.478101355942258, 140.0, 25.221481828137314, -58.17810135594226, 4.400000000000006, 6.5, -31.99, -83.14, 29.61, 1.23, -85.95]","[205.2669456200375, 15.48710500198483, 140.0, 20.033054379962522, -74.08710500198484, 4.400000000000006, -0.79, -32.25, -82.7, 29.61, 1.23, -93.33]","[205.7553730682123, 2.496108648027416, 140.0, 11.544626931787718, -88.69610864802742, 5.800000000000011, -7.55, -32.6, -82.08, 29.61, 1.23, -97.64]","[206.2438005163871, -10.494887705930012, 140.0, 7.5561994836129145, -85.70511229406999, 6.199999999999989, -8.78, -32.69, -81.47, 29.26, 1.23, -97.64]","[206.7322279645619, -23.485884059887425, 140.0, 6.967772035438088, -72.71411594011258, 5.900000000000006, -8.78, -32.69, -81.38, 29.17, 1.23, -97.55]","[207.2206554127367, -36.47688041384484, 140.0, 6.579344587263307, -59.723119586155164, 6.0, -8.78, -32.69, -81.38, 29.09, 1.23, -97.82]","[207.7090828609115, -49.46787676780227, 140.0, 5.990917139088481, -46.732123232197736, 5.900000000000006, -8.78, -32.69, -81.38, 28.91, 1.14, -97.99]","[208.1975103090863, -62.458873121759694, 140.0, 5.8024896909136885, -33.94112687824031, 6.699999999999989, -8.78, -32.69, -80.06, 26.8, 0.87, -98.34]","[208.68593775726112, -75.44986947571712, 140.0, 5.2140622427388905, -21.050130524282878, 6.599999999999994, -8.78, -32.69, -80.06, 26.63, 0.79, -98.34]","[209.17436520543592, -88.44086582967452, 140.0, 4.6256347945640925, -8.059134170325478, 6.5, -8.78, -32.69, -80.06, 26.63, 0.79, -98.52]"
"[191.4102514370456, 108.9204052910662, 140.0, 0.4897485629544178, 0.2795947089338, 7.699999999999989, 46.23, -26.01, -89.47, 28.74, 0.35, -43.94]","[191.87335513853887, 95.2510663509864, 140.0, 6.526644861461136, 4.748933649013594, 7.099999999999994, 41.3, -26.45, -89.47, 29.44, 0.79, -50.97]","[192.33645884003218, 81.58172741090661, 140.0, 17.263541159967815, -7.881727410906606, 7.099999999999994, 33.83, -26.45, -89.47, 29.44, 0.79, -58.09]","[192.79956254152546, 67.9123884708268, 140.0, 24.50043745847455, -21.5123884708268, 7.099999999999994, 26.71, -26.45, -89.47, 29.44, 0.79, -65.21]","[193.26266624301874, 54.243049530747, 140.0, 28.137333756981263, -34.743049530747, 7.099999999999994, 19.59, -26.45, -89.47, 29.44, 0.79, -72.24]","[193.72576994451205, 40.573710590667204, 140.0, 28.374230055487942, -48.8737105906672, 7.099999999999994, 12.48, -26.45, -89.47, 29.44, 0.79, -79.54]","[194.18887364600533, 26.904371650587393, 140.0, 25.111126353994678, -63.004371650587395, 7.099999999999994, 5.18, -26.45, -89.47, 29.44, 0.79, -86.92]","[194.65197734749862, 13.235032710507596, 140.0, 18.24802265250139, -76.9350327105076, 7.099999999999994, -2.02, -26.45, -89.47, 29.44, 0.79, -94.04]","[195.11508104899193, -0.43430622957220066, 140.0, 9.084918951008063, -87.2656937704278, 7.099999999999994, -7.73, -26.45, -89.47, 29.44, 0.87, -96.85]","[195.5781847504852, -14.103645169651998, 140.0, 6.221815249514805, -78.79635483034801, 7.099999999999994, -8.34, -26.45, -89.47, 29.44, 0.87, -96.94]","[196.0412884519785, -27.772984109731794, 140.0, 5.758711548021523, -65.12701589026821, 7.099999999999994, -8.34, -26.45, -89.47, 29.44, 0.87, -97.11]","[196.5043921534718, -41.44232304981159, 140.0, 5.295607846528213, -51.457676950188414, 7.099999999999994, -8.34, -26.45, -89.47, 29.44, 0.87, -97.29]","[196.96749585496508, -55.11166198989142, 140.0, 4.832504145034932, -37.78833801010859, 7.099999999999994, -8.34, -26.45, -89.47, 29.44, 0.87, -97.38]","[197.43059955645836, -68.78100092997121, 140.0, 4.36940044354165, -24.118999070028792, 7.099999999999994, -8.34, -26.45, -89.47, 29.44, 0.79, -97.64]","[197.89370325795167, -82.45033987005101, 140.0, 3.9062967420483403, -10.54966012994899, 7.099999999999994, -8.34, -26.45, -89.47, 29.44, 0.79, -97.73]"
"[199.59531756752136, 97.72735227341606, 140.0, 0.9046824324786371, 0.872647726583935, 7.800000000000011, 42.62, -26.89, -87.62, 27.24, 0.17, -47.63]","[199.60894682958192, 84.054141171726, 140.0, 5.691053170418087, 4.245858828273995, 6.900000000000006, 37.79, -27.59, -87.62, 28.21, 1.66, -55.1]","[199.62257609164251, 70.38093007003594, 140.0, 16.577423908357474, -8.080930070035947, 5.199999999999989, 30.23, -28.56, -87.62, 29.61, 1.75, -62.49]","[199.63620535370308, 56.70771896834587, 140.0, 22.96379464629692, -21.907718968345876, 5.0, 23.02, -28.56, -87.62, 29.79, 1.75, -69.6]","[199.64983461576367, 43.03450786665582, 140.0, 26.350165384236334, -35.43450786665582, 5.800000000000011, 15.99, -29.17, -86.74, 29.79, 1.75, -76.64]","[199.66346387782423, 29.361296764965758, 140.0, 26.936536122175767, -49.86129676496576, 5.0, 8.96, -29.61, -86.22, 29.79, 1.75, -83.84]","[199.67709313988482, 15.688085663275686, 140.0, 22.722906860115188, -63.78808566327569, 5.0, 1.84, -29.61, -86.22, 29.79, 1.75, -90.96]","[199.69072240194538, 2.0148745615856285, 140.0, 14.909277598054615, -77.61487456158562, 5.0, -5.44, -29.61, -86.22, 29.79, 1.84, -97.99]","[199.70435166400597, -11.658336540104415, 140.0, 5.095648335994042, -87.34166345989559, 5.0, -10.54, -29.61, -86.04, 29.79, 1.84, -99.84]","[199.71798092606653, -25.331547641794472, 140.0, 4.0820190739334805, -76.26845235820552, 5.5, -10.72, -29.61, -86.04, 29.79, 1.84, -99.93]","[199.73161018812712, -39.004758743484544, 140.0, 4.0683898118728905, -62.59524125651545, 5.5, -10.72, -29.61, -86.04, 29.79, 1.75, -100.1]","[199.74523945018768, -52.67796984517459, 140.0, 4.054760549812329, -49.022030154825416, 5.5, -10.72, -29.61, -86.04, 29.79, 1.75, -100.19]","[199.75886871224827, -66.35118094686469, 140.0, 4.041131287751739, -35.348819053135315, 5.5, -10.72, -29.61, -86.04, 29.79, 1.66, -100.45]","[199.77249797430883, -80.02439204855473, 140.0, 4.127502025691172, -21.775607951445267, 5.800000000000011, -10.72, -29.61, -85.51, 28.91, 1.49, -100.54]","[199.78612723636942, -93.6976031502448, 140.0, 4.113872763630582, -8.402396849755192, 6.0, -10.72, -29.61, -85.34, 28.65, 1.23, -101.07]"
"[209.05181752441678, 102.41808371991544, 140.0, 1.1481824755832122, -0.8180837199154496, 9.099999999999994, 41.48, -31.72, -78.66, 22.67, 0.35, -48.33]","[208.28786771085646, 88.56639197561495, 140.0, 5.912132289143528, 4.133608024385055, 8.5, 37.35, -31.72, -80.41, 25.57, 0.79, -55.54]","[207.52391789729617, 74.71470023131445, 140.0, 16.176082102703816, -9.814700231314447, 7.199999999999989, 30.05, -31.72, -81.12, 26.71, 0.79, -62.75]","[206.75996808373586, 60.863008487013964, 140.0, 23.040031916264155, -25.063008487013967, 6.199999999999989, 22.76, -31.72, -82.61, 29.0, 0.79, -70.13]","[205.99601827017554, 47.011316742713475, 140.0, 26.00398172982446, -41.11131674271348, 5.099999999999994, 15.46, -31.72, -83.67, 30.05, 0.87, -77.69]","[205.23206845661525, 33.159624998412994, 140.0, 24.967931543384736, -56.45962499841299, 3.8000000000000114, 8.08, -31.55, -84.81, 31.37, 0.87, -85.16]","[204.46811864305494, 19.307933254112484, 140.0, 18.731881356945053, -73.80793325411248, 3.5, 0.08, -30.84, -85.86, 31.46, 0.96, -92.98]","[203.70416882949462, 5.456241509812003, 140.0, 10.495831170505369, -87.556241509812, 3.4000000000000057, -6.85, -30.84, -86.04, 31.55, 1.66, -99.4]","[202.94021901593433, -8.395450234488493, 140.0, 3.559780984065668, -91.1045497655115, 3.1999999999999886, -10.1, -30.84, -86.04, 31.55, 1.66, -99.93]","[202.17626920237402, -22.247141978788974, 140.0, 4.22373079762599, -77.55285802121102, 3.1999999999999886, -10.1, -30.84, -86.04, 31.55, 1.66, -99.93]","[201.4123193888137, -36.098833723089456, 140.0, 4.987680611186306, -63.70116627691054, 3.1999999999999886, -10.1, -30.84, -86.04, 31.55, 1.66, -99.93]","[200.6483695752534, -49.95052546738995, 140.0, 5.751630424746594, -49.849474532610046, 3.1999999999999886, -10.1, -30.84, -86.04, 31.55, 1.66, -100.01]","[199.8844197616931, -63.802217211690476, 140.0, 6.51558023830691, -35.99778278830952, 3.1999999999999886, -10.1, -30.58, -86.04, 31.55, 1.66, -100.19]","[199.12046994813278, -77.65390895599094, 140.0, 3.5795300518672093, -24.04609104400906, 4.5, -11.07, -29.26, -87.89, 31.46, 1.49, -100.19]","[198.3565201345725, -91.50560070029144, 140.0, 2.843479865427497, -11.894399299708567, 3.5999999999999943, -11.25, -29.26, -87.97, 31.46, 1.49, -100.19]"
"[204.6255407761794, 108.62420225859378, 140.0, 1.0744592238205826, 0.675797741406214, 7.400000000000006, 43.68, -31.72, -80.06, 24.52, 0.35, -46.58]","[204.88719309476156, 94.95164595828095, 140.0, 6.012806905238449, 2.948354041719057, 6.400000000000006, 38.49, -31.72, -81.29, 26.27, 1.05, -54.4]","[205.14884541334368, 81.27908965796811, 140.0, 16.85115458665632, -13.479089657968117, 5.599999999999994, 30.84, -31.72, -81.65, 26.63, 1.05, -61.78]","[205.41049773192583, 67.60653335765527, 140.0, 23.489502268074176, -28.606533357655266, 5.699999999999989, 23.55, -31.72, -81.65, 26.63, 1.05, -69.25]","[205.67215005050795, 53.93397705734243, 140.0, 26.327849949492048, -44.633977057342435, 5.699999999999989, 15.55, -31.72, -81.65, 26.63, 1.05, -77.16]","[205.9338023690901, 40.2614207570296, 140.0, 25.066197630909897, -63.561420757029595, 5.699999999999989, 7.82, -31.72, -81.65, 26.63, 1.05, -84.9]","[206.19545468767222, 26.58886445671675, 140.0, 19.804545312327775, -79.68886445671674, 5.699999999999989, 0.52, -31.72, -81.65, 26.63, 1.14, -92.28]","[206.45710700625438, 12.916308156403915, 140.0, 10.842892993745636, -94.61630815640392, 5.699999999999989, -6.41, -31.72, -81.65, 26.63, 1.14, -96.59]","[206.7187593248365, -0.7562481439089197, 140.0, 6.781240675163502, -90.54375185609108, 5.699999999999989, -7.55, -31.72, -81.65, 26.63, 1.14, -96.67]","[206.98041164341865, -14.428804444221754, 140.0, 6.519588356581352, -76.87119555577824, 5.699999999999989, -7.55, -31.72, -81.65, 26.63, 1.14, -96.85]","[207.24206396200077, -28.10136074453459, 140.0, 6.2579360379992295, -63.19863925546541, 5.699999999999989, -7.55, -31.72, -81.65, 26.63, 1.14, -97.03]","[207.50371628058292, -41.77391704484742, 140.0, 5.996283719417079, -49.526082955152575, 5.699999999999989, -7.55, -31.72, -81.65, 26.63, 1.14, -97.2]","[207.76536859916504, -55.446473345160285, 140.0, 5.734631400834957, -35.85352665483971, 5.699999999999989, -7.55, -31.72, -81.65, 26.63, 1.14, -97.38]","[208.0270209177472, -69.11902964547312, 140.0, 5.472979082252806, -22.180970354526877, 5.699999999999989, -7.55, -31.72, -81.65, 26.63, 1.14, -97.38]","[208.28867323632932, -82.79158594578595, 140.0, 5.211326763670684, -8.508414054214043, 5.699999999999989, -7.55, -31.72, -81.73, 26.63, 1.14, -97.64]"
